Date,Open,High,Low,Close,Volume
2016-06-30 00:00:00+00:00,640.59,675.4,636.61,673.34,138980000
2016-07-01 00:00:00+00:00,672.52,686.15,669.59,676.3,134431008
2016-07-02 00:00:00+00:00,676.73,703.7,676.4,703.7,112354000
2016-07-03 00:00:00+00:00,704.97,704.97,649.01,658.66,129512000
2016-07-04 00:00:00+00:00,658.8,683.66,650.51,683.66,92008400
2016-07-05 00:00:00+00:00,683.21,683.49,665.07,670.63,130476000
2016-07-06 00:00:00+00:00,670.42,681.9,670.42,677.33,134960992
2016-07-07 00:00:00+00:00,678.09,682.43,611.83,640.56,258091008
2016-07-08 00:00:00+00:00,640.69,666.71,636.47,666.52,141970000
2016-07-09 00:00:00+00:00,666.38,666.38,633.4,650.96,180536000
2016-07-10 00:00:00+00:00,650.6,652.29,641.26,649.36,102532000
2016-07-11 00:00:00+00:00,648.48,659.63,644.98,647.66,107910000
2016-07-12 00:00:00+00:00,648.28,675.26,646.78,664.55,138172992
2016-07-13 00:00:00+00:00,664.8,668.7,654.47,654.47,131449000
2016-07-14 00:00:00+00:00,652.92,662.9,652.92,658.08,98511400
2016-07-15 00:00:00+00:00,659.17,667.08,659.04,663.26,81673104
2016-07-16 00:00:00+00:00,663.78,666.46,659.33,660.77,50330200
2016-07-17 00:00:00+00:00,661.99,682.36,661.99,679.46,74407904
2016-07-18 00:00:00+00:00,679.81,681.55,668.62,673.11,69465000
2016-07-19 00:00:00+00:00,672.74,673.28,667.63,672.86,61203300
2016-07-20 00:00:00+00:00,672.81,672.93,663.36,665.68,94636400
2016-07-21 00:00:00+00:00,665.23,666.22,660.41,665.01,60491800
2016-07-22 00:00:00+00:00,664.92,666.58,646.72,650.62,134169000
2016-07-23 00:00:00+00:00,650.73,656.37,648.52,655.56,69532200
2016-07-24 00:00:00+00:00,655.41,663.11,652.79,661.28,118184000
2016-07-25 00:00:00+00:00,661.26,661.83,653.4,654.1,78176496
2016-07-26 00:00:00+00:00,654.23,656.22,645.88,651.78,225135008
2016-07-27 00:00:00+00:00,651.63,657.46,648.45,654.35,147460992
2016-07-28 00:00:00+00:00,654.49,657.59,654.49,655.03,86428400
2016-07-29 00:00:00+00:00,655.11,657.8,654.79,656.99,60703500
2016-07-30 00:00:00+00:00,657.01,658.22,654.21,655.05,38456100
2016-07-31 00:00:00+00:00,655.1,655.28,624.36,624.68,110818000
2016-08-01 00:00:00+00:00,624.6,626.12,605.88,606.27,121887000
2016-08-02 00:00:00+00:00,606.4,612.85,531.33,547.47,330932992
2016-08-03 00:00:00+00:00,548.66,573.36,541.55,566.35,207982000
2016-08-04 00:00:00+00:00,566.33,579.5,565.78,578.29,125292000
2016-08-05 00:00:00+00:00,578.28,578.28,569.98,575.04,66127900
2016-08-06 00:00:00+00:00,575.03,588.4,569.47,587.78,80797296
2016-08-07 00:00:00+00:00,587.77,597.51,586.82,592.69,82398400
2016-08-08 00:00:00+00:00,592.74,592.99,588.05,591.05,61194100
2016-08-09 00:00:00+00:00,591.04,591.09,584.79,587.8,92228096
2016-08-10 00:00:00+00:00,587.65,599.98,586.37,592.1,102905000
2016-08-11 00:00:00+00:00,592.12,597.54,589.12,589.12,74514400
2016-08-12 00:00:00+00:00,588.8,589.91,583.81,587.56,69218000
2016-08-13 00:00:00+00:00,587.36,589.77,584.98,585.59,43563000
2016-08-14 00:00:00+00:00,585.59,585.67,564.78,570.47,60851100
2016-08-15 00:00:00+00:00,570.49,573.58,563.24,567.24,57262300
