Date,Open,High,Low,Close,Volume,Capital Gains
2016-06-27 00:00:00-04:00,171.72,171.73,169.21,170.02,230775800,0.0
2016-06-28 00:00:00-04:00,171.62,173.11,171.32,173.09,159382400,0.0
2016-06-29 00:00:00-04:00,174.49,176.27,174.38,176.04,137328600,0.0
2016-06-30 00:00:00-04:00,176.5,178.49,175.95,178.44,165021900,0.0
2016-07-01 00:00:00-04:00,178.44,179.3,178.28,178.81,106055300,0.0
2016-07-05 00:00:00-04:00,177.99,178.1,176.93,177.53,109803700,0.0
2016-07-06 00:00:00-04:00,177.03,178.71,176.38,178.59,96021500,0.0
2016-07-07 00:00:00-04:00,178.77,179.43,177.71,178.48,85593800,0.0
2016-07-08 00:00:00-04:00,179.78,181.39,179.55,181.14,133971000,0.0
2016-07-11 00:00:00-04:00,181.6,182.35,181.39,181.78,73633900,0.0
2016-07-12 00:00:00-04:00,182.74,183.4,181.8,183.1,101275600,0.0
2016-07-13 00:00:00-04:00,183.51,183.52,182.59,183.07,87324100,0.0
2016-07-14 00:00:00-04:00,184.33,184.56,183.7,184.09,91230900,0.0
2016-07-15 00:00:00-04:00,184.66,184.85,183.4,183.85,107155400,0.0
2016-07-18 00:00:00-04:00,183.97,184.5,183.71,184.34,58725900,0.0
2016-07-19 00:00:00-04:00,183.92,184.19,183.68,184.15,54345700,0.0
2016-07-20 00:00:00-04:00,184.15,185.16,184.15,184.92,58159500,0.0
2016-07-21 00:00:00-04:00,184.81,185.03,183.78,184.22,67777300,0.0
2016-07-22 00:00:00-04:00,184.34,185.1,184.08,185.05,62787500,0.0
2016-07-25 00:00:00-04:00,184.84,184.89,183.97,184.55,55873100,0.0
2016-07-26 00:00:00-04:00,184.44,184.99,183.79,184.63,70080500,0.0
2016-07-27 00:00:00-04:00,185.01,185.07,183.67,184.43,84083900,0.0
2016-07-28 00:00:00-04:00,184.24,184.94,183.78,184.65,65035700,0.0
2016-07-29 00:00:00-04:00,184.38,185.3,184.1,184.95,79519400,0.0
2016-08-01 00:00:00-04:00,185.01,185.4,184.34,184.79,73311400,0.0
2016-08-02 00:00:00-04:00,184.55,184.7,182.77,183.61,92295500,0.0
2016-08-03 00:00:00-04:00,183.55,184.2,183.25,184.14,53993600,0.0
2016-08-04 00:00:00-04:00,184.26,184.66,182.5,184.34,46585500,0.0
2016-08-05 00:00:00-04:00,184.34,185.89,184.34,185.85,71892200,0.0
2016-08-08 00:00:00-04:00,186.04,186.14,185.47,185.74,39906500,0.0
2016-08-09 00:00:00-04:00,185.81,186.34,185.52,185.85,51251700,0.0
2016-08-10 00:00:00-04:00,185.96,186.04,185.04,185.39,57941100,0.0
2016-08-11 00:00:00-04:00,185.92,186.5,185.65,186.25,72504300,0.0
2016-08-12 00:00:00-04:00,185.94,186.3,185.69,186.09,61313500,0.0
2016-08-15 00:00:00-04:00,186.45,186.97,186.44,186.62,49813500,0.0
2016-08-16 00:00:00-04:00,186.21,186.27,185.66,185.66,53213600,0.0
2016-08-17 00:00:00-04:00,185.7,186.15,184.86,186.01,75134300,0.0
2016-08-18 00:00:00-04:00,185.98,186.46,185.87,186.43,52989300,0.0
2016-08-19 00:00:00-04:00,185.96,186.33,185.47,186.16,75443000,0.0
2016-08-22 00:00:00-04:00,185.92,186.38,185.55,186.15,61368800,0.0
2016-08-23 00:00:00-04:00,186.76,187.06,186.46,186.52,53399200,0.0
2016-08-24 00:00:00-04:00,186.38,186.47,185.15,185.57,71728900,0.0
2016-08-25 00:00:00-04:00,185.18,185.86,185.03,185.44,69224800,0.0
2016-08-26 00:00:00-04:00,185.63,186.65,184.2,185.09,122506300,0.0
2016-08-29 00:00:00-04:00,185.22,186.27,185.18,186.0,70502200,0.0
2016-08-30 00:00:00-04:00,185.92,186.2,185.14,185.7,58114500,0.0
2016-08-31 00:00:00-04:00,185.36,185.48,184.39,185.17,85269500,0.0
2016-09-01 00:00:00-04:00,185.16,185.47,184.02,185.18,97844200,0.0
2016-09-02 00:00:00-04:00,186.03,186.44,185.44,186.01,79293900,0.0
2016-09-06 00:00:00-04:00,186.29,186.65,185.58,186.57,56702100,0.0
2016-09-07 00:00:00-04:00,186.41,186.73,185.95,186.56,76554900,0.0
2016-09-08 00:00:00-04:00,186.22,186.5,185.82,186.13,74102900,0.0
2016-09-09 00:00:00-04:00,184.82,184.87,181.65,181.67,221589100,0.0
2016-09-12 00:00:00-04:00,180.92,184.68,180.85,184.28,168110900,0.0
2016-09-13 00:00:00-04:00,183.0,183.27,181.01,181.63,182828800,0.0
2016-09-14 00:00:00-04:00,181.68,182.88,181.01,181.56,134185500,0.0
2016-09-15 00:00:00-04:00,181.4,183.76,181.22,183.38,134427900,0.0
2016-09-16 00:00:00-04:00,182.76,182.94,181.98,182.67,155236400,0.0
2016-09-19 00:00:00-04:00,183.32,183.96,182.38,182.7,80250500,0.0
2016-09-20 00:00:00-04:00,183.56,183.71,182.68,182.71,69665300,0.0
2016-09-21 00:00:00-04:00,183.41,184.95,182.73,184.77,110284400,0.0
2016-09-22 00:00:00-04:00,185.78,186.23,185.53,185.93,76678700,0.0
2016-09-23 00:00:00-04:00,185.54,185.67,184.82,184.91,73630900,0.0
2016-09-26 00:00:00-04:00,184.08,184.26,183.22,183.41,89827300,0.0
2016-09-27 00:00:00-04:00,183.25,184.65,182.88,184.55,78494800,0.0
2016-09-28 00:00:00-04:00,184.78,185.62,183.82,185.47,87411000,0.0
2016-09-29 00:00:00-04:00,185.26,185.67,183.24,183.79,128070600,0.0
2016-09-30 00:00:00-04:00,184.62,185.88,184.37,185.18,117202900,0.0
2016-10-03 00:00:00-04:00,184.77,184.96,184.1,184.73,83512100,0.0
